,Unnamed: 0,estimate_name,study_name,source_name,publication_date,source_type,estimate_grade,study_type,country,state,city,study_inclusion_criteria,study_exclusion_criteria,sampling_start_date,sampling_end_date,population_group,sex,age,age_min,age_max,subgroup_var,subgroup_specific_category,denominator_value,serum_pos_prevalence,seroprev_95_ci_lower,seroprev_95_ci_upper,dashboard_primary_estimate,test_adj,pop_adj,clustering_adjustment,academic_primary_estimate,sampling_method,test_name,test_manufacturer,test_type,specimen_type,isotypes,antibody_target,test_validation,sensitivity,specificity,overall_risk_of_bias,jbi_1,jbi_2,jbi_3,jbi_4,jbi_5,jbi_6,jbi_7,jbi_8,jbi_9,first_author,lead_institution,is_unity_aligned,url,date_created,last_modified_time,data_quality_status,zotero_citation_key,alpha_3_code,low_vaccination
8506,8506,200803_Italy_ItalianMinistryOfHealth_Overall,200803_Italy_ItalianMinistryOfHealth,FIRST RESULTS OF THE SEROPREVALENCE SURVEY ON SARS-CoV-2,2020-08-03,Institutional Report,National,Cross-sectional survey ,Italy,"Abruzzo, Basilicata, Calabria, Campania, Emilia Romagna, Friuli-Venezia Giulia, Lazio, Liguria, Lombardy, Marche, Molise, Piemonte, Trentino-Alto Adige, Puglia, Sardegna, Sicily, Tuscany, Umbria, Valle D'Aosta, Veneto",,"The people selected were also asked to respond to a specific questionnaire  prepared by Istat, in agreement with the Technical Scientific Committee.",,2020-05-25,2020-07-15,Household and community samples,All,Multiple groups,,,Primary Estimate,,64660,0.025,,,True,,,,True,Stratified non-probability,Abbott Architect SARS-CoV-2 IgG,Abbott Laboratories,CLIA,Serum,IgG,,,,,1,Yes,No,Yes,No,Unclear,Yes,Yes,Yes,Unclear,Instituto Nazionale di Statistica,Italian Ministry of Health,Unity-Aligned,https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf,2020-10-04,2023-03-22,Verified,instituto_nazionale_di_statistica_primi_2020,ITA,True
9011,9011,210120_Japan_ResearchInstituteOfTuberculosis_GenPop,210120_Japan_ResearchInstituteOfTuberculosis,"Prevalence of SARS-CoV-2-Specific Antibodies, Japan, June 2020",2021-01-20,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Japan,,"Tokyo, Osaka, Miyagi","We conducted a seroprevalence survey of SARS- CoV-2 infection in 3 prefectures of Japan: Tokyo, Osaka, and Miyagi. Eligible participants were persons >20 years of age living in Japan.",The Tokyo and Miyagi prefectures excluded otherwise eligible participants with temperatures ≥37.5°C. ,2020-06-01,2020-06-07,Household and community samples,All,Multiple groups,20.0,,Primary Estimate,,7950,0.001,0.0004,0.002,True,,,,True,Stratified probability,"Elecsys® Anti‐SARS‐CoV‐2 (N),Abbott Architect SARS-CoV-2 IgG","Roche Diagnostics,Abbott Laboratories",CLIA,Serum,"['IgG', 'TotalAntibody']",Nucleocapsid(N-protein),Validated by manufacturers,,,1,Yes,Yes,Yes,Yes,Unclear,Yes,Yes,No,No,Takashi Yoshiyama,Government of Japan,Unity-Aligned,https://dx.doi.org/10.3201/eid2702.204088,2021-02-28,2022-07-16,Verified,yoshiyama_prevalence_2021,JPN,True
9256,9256,210710_Jordan_WorldHealthOrganization_January2021,210710_Jordan_WorldHealthOrganization_thirdRoundJanuary2021,A three-phase population based sero-epidemiological study: Assessing the trend in prevalence of SARS-CoV-2 during COVID-19 pandemic in Jordan,2021-07-10,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Jordan,,,"All persons living in the household were invited to participate in the study, including children to ensure the calculation of age-specific attack rates. Multiple time periods of field visits were conducted to ensure the inclusion of working individuals.","Exclusion criteria included the selection of household with less than 2  members willing to  participate in  the  study, refusal to  provide informed consent and/or contraindication to venipuncture, residential institutions such as boarding schools, dormitories, hostels and prisons were excluded. Suspected, confirmed acute and prior COVID-19 infec-tion were not excluded from participation in the study. ",2020-12-27,2021-01-06,Household and community samples,All,Multiple groups,,,Primary Estimate,,5044,0.342,0.3379999999999999,0.346,True,,,,True,Stratified probability,Wantai SARS-CoV-2 IgM ELISA,Beijing Wantai Biological,ELISA,Serum,"['IgG', 'IgM']",,,,,1,Yes,Yes,Yes,No,Unclear,No,Yes,No,Yes,Saverio Bellizzi,World Health Organization,Unity-Aligned,http://dx.doi.org/10.1016/j.onehlt.2021.100292,2021-07-29,2022-07-16,Verified,bellizziThreephasePopulationBased2021,JOR,True
9274,9274,220217_Kazakhstan_NazarbayevUniversitySchoolofMedicine_Overall_IgG,220217_Kazakhstan_NazarbayevUniversitySchoolofMedicine,Seropositivity of SARS-CoV-2 in the Population of Kazakhstan: A Nationwide Laboratory-Based Surveillance,2022-02-17,Journal Article (Peer-Reviewed),National,Repeated cross-sectional study,Kazakhstan,,,"residual sera from “IN VITRO” laboratories, the largest private network of government-licensed laboratories in Kazakhstan (“IN VITRO” laboratories are available in all administrative units of Kazakhstan, including rural areas)",,2020-07-16,2021-07-07,Residual sera,All,Multiple groups,,,Primary Estimate,,85346,0.63,0.627,0.633,True,,,,True,Sequential,SARS- CoV-2-IgG-EIA-BEST and SARS-CoV-2- IgM-EIA-BEST ,Vector BEST,ELISA,Serum,IgG,Spike,Validated by independent authors/third party/non-developers,0.9,1.0,0,No,No,Yes,No,No,Unclear,Yes,Yes,,Yuliya Semenova,Nazarbayev University School of Medicine,Unity-Aligned,https://dx.doi.org/10.3390/ijerph19042263,2022-02-28,2022-07-16,Unverified,semenova_seropositivity_2022,KAZ,True
9369,9369,210902_Kenya_KEMRI-WellcomeTrustResearchProgramme_OverallPopAndTestAdjusted,210902_Kenya_KEMRI-WellcomeTrustResearchProgramme,"Prevalence of SARS-CoV-2 Antibodies From a National Serosurveillance of Kenyan Blood Donors, January-March 2021.",2021-09-02,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Kenya,,,Plasma samples with complete donor demographic data and sufficient volume collected from all 6 regional transfusion centers were included and assayed for anti–spike IgG using an enzymelinked immunosorbent assay.,"Forty-four samples were excluded because of missing information, age-ineligible donors, or collection date before 2021.",2021-01-03,2021-03-15,Blood donors,All,Multiple groups,16.0,64.0,Primary Estimate,Population and Test adjusted,3018,0.485,0.452,0.521,True,True,True,,,Convenience,Author designed (ELISA) -Spike,,ELISA,Plasma,IgG,Spike,Validated by independent authors/third party/non-developers,0.927,0.99,1,No,No,Yes,Yes,No,Unclear,Yes,Yes,,Sophie Uyoga,KEMRI-Wellcome Trust Research Programme,Unity-Aligned,https://dx.doi.org/10.1001/jama.2021.15265,2021-09-09,2022-07-16,Verified,uyoga_prevalence_2021-1,KEN,True
9555,9555,220110_Lebanon_LebaneseUniversity_Overall_TestPopAdj,220110_Lebanon_LebaneseUniversity,SARS-CoV-2 antibody seroprevalence in Lebanon: findings from the first nationwide serosurvey.,2022-01-10,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Lebanon,"Beirut, Mount Lebanon, North Lebanon, Akkar, Baalbek El-Hermel, Bekaa, Nabatieh, and South Lebanon",,All residents who were deemed to be asymptomatic for SARS-CoV-2 infection at the time of data collection were eligible to participate. ,"The exclusion criteria included patients confirmed with SARS-CoV-2 infection, individuals under quarantine, and patients presenting symptoms suggestive of SARS-CoV-2 infection including cough, fever, body aches, and shortness of breath, as well as those who refused to give informed consent.",2020-12-07,2021-01-15,Household and community samples,All,Multiple groups,,,Primary Estimate,"Test and Population (age group, sex, geographic location) adjusted",2058,0.185,0.168,0.2019999999999999,True,True,True,,,Stratified probability,nCOVID-19 IgG & IgM POCT,Technogenetics,LFIA,Serum,IgG,Spike,Validated by independent authors/third party/non-developers,0.923,1.0,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abbas Hoballah,Lebanese University,Unity-Aligned,https://dx.doi.org/10.1186/s12879-022-07031-z,2022-01-18,2022-07-16,Verified,hoballah_sars-cov-2_2022,LBN,True
9627,9627,210118_Lithuania_210118_Lithuania_LithuanianUniversityofHealthSciences_TestAdj,210118_Lithuania_LithuanianUniversityofHealthSciences,SARS-CoV-2 Seroprevalence in Lithuania: Results of National Population Survey,2021-01-18,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Lithuania,"Vilnius County, Kaunas county, Klaipėda County, Tauragė County, Utena county
","Vilnius, Kaunas, Klaipėda
",Randomly selected adult participants (18 years and older) were asked by mail to visit a designated health care unit to undergo the SARS-CoV-2 antibodies test and fill in the questionnaire.,,2020-08-10,2020-09-10,Household and community samples,All,Multiple groups,18.0,92.0,Primary Estimate,Test Adjusted,3089,0.0139999999999999,0.0092,0.0199,True,True,,,,Simplified probability,AMP Rapid Test SARS-CoV-2 IgG/IgM,AMEDA Labordiagnostik GmbH,LFIA,Whole Blood,"['IgG', 'IgM']",,Validated by independent authors/third party/non-developers,0.92,0.994,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Unclear,Kastytis Smigelskas, Lithuanian University of Health Sciences,Unity-Aligned,https://www.journals.vu.lt/AML/article/view/22344,2021-05-13,2022-07-16,Verified,smigelskas_sars-cov-2_2021,LTU,True
9870,9870,211105_Mexico_InstitutoNacionaldeSaludPublica_Adolescent_Primary,211105_Mexico_InstitutoNacionaldeSaludPublica_Adolescent,Seroprevalence of SARS-CoV-2 in Mexican children and adolescents in primary and secondary education age,2021-11-05,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Mexico,,,"Within the households, all the children between 0-4 years old, and one individual from each group of age (5-9, 10-19, 20-34, 35-49, ≥50 years) with sampling simple random.

This study includes children ages 3-12.",,2020-08-15,2020-11-15,Household and community samples,All,Children and Youth (0-17 years),3.0,12.0,Primary Estimate,,944,0.187,0.149,0.225,True,True,True,,True,Stratified probability,Elecsys® Anti‐SARS‐CoV‐2 (N),Roche Diagnostics,CLIA,,IgG,Nucleocapsid(N-protein),Validated by independent authors/third party/non-developers,0.92,0.995,2,Yes,Yes,Yes,No,Unclear,Yes,Yes,Yes,No,Francisco Canto-Osorio,Instituto Nacional de Salud Públic,Unity-Aligned,https://saludpublica.mx/index.php/spm/article/view/12847,2021-12-01,2022-07-16,Verified,canto-osorio_seroprevalence_2021,MEX,True
10170,10170,210404_Nepal_GovernmentOfNepal_overall_PopAdj,210404_Nepal_GovernmentOfNepal,ENHANCED SURVEILLANCE ON SERO-PREVALENCE OF SARS-COV-2 IN GENERAL POPULATION,2021-04-04,Institutional Report,National,Cross-sectional survey ,Nepal,,,The study population consisted of any person aged six (6) months or older and living in Nepal for a continuous period of at least 4 weeks prior to the first blood sampling date,"Exclusion criteria included refusal to give informed consent or contraindication to venepuncture. Additionally, to allow for enough time for exposure to infection and development of antibodies (IgM or IgG or other types), any person who had arrived in the country less than 4 weeks prior to the blood sample collection date was excluded.

The population under 6 months was excluded for operational difficulties in getting a blood sample and also because young infants have not been found to be significant source of COVID-19 infection.",2020-10-09,2020-10-22,Household and community samples,All,Multiple groups,,,Primary Estimate,,3040,0.144,0.118,0.17,True,,True,,True,Stratified probability,Wantai SARS-CoV-2 Total Ab ELISA,Beijing Wantai Biological,ELISA,Serum,TotalAntibody,,Validated by independent authors/third party/non-developers,0.967,0.975,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Government of Nepal,Government of Nepal,Unity-Aligned,https://mohp.gov.np/attachments/article/708/First%20Sero-prevalence_final_report_04-04-2021.pdf,2021-05-22,2022-07-16,Verified,government_of_nepal_enhanced_2021,NPL,True
10658,10658,220406_Pakistan_MinistryofNationalHealthServicesRegulationsandCoordination_Overall,220406_Pakistan_MinistryofNationalHealthServicesRegulationsandCoordination,COVID-19 seroprevalence in Pakistan: a cross-sectional study,2022-04-06,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Pakistan,"Punjab, Sindh, Baluchistan, Khyber Pakhtunkhwa, Azad Jammu & Kashmir, Gilgit Baltistan",,"This was a nationwide study in the four provinces (Punjab, Sindh, Baluchistan and Khyber Pakhtunkhwa) and two regions (Azad Jammu & Kashmir (AJK) and Gilgit Baltistan (GB)) of Pakistan. Individuals of all ages and genders were eligible to participate.","exclusion criteria: contraindications to venipuncture however, no such case was encountered",2020-10-21,2020-11-08,Household and community samples,All,Multiple groups,,,Primary Estimate,,4998,0.0702,,,True,,,,True,Stratified probability,Novel Corona Virus (SARS-CoV-2) IgM/IgG Rapid Test Kit,Bioperfectus,LFIA,Whole Blood,"['IgG', 'IgM']",,Validated by independent authors/third party/non-developers,,0.95,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Ahsan Ahmad,Ministry of National Health Services Regulations and Coordination,Unity-Aligned,https://bmjopen.bmj.com/content/12/4/e055381.abstract,2022-04-12,2022-07-16,Verified,ahmad_covid-19_2022,PAK,True
10924,10924,210826_Portugal_LosAlamosNationalLaboratory_PopAdj_TestAdj,210826_Portugal_LosAlamosNationalLaboratory,"Prevalence of SARS-CoV-2 Antibodies after First 6 Months of COVID-19 Pandemic, Portugal",2021-08-26,Journal Article (Peer-Reviewed),National,Cross-sectional study with prospective cohort follow up of a subset of the sample,Portugal,,,Resident of Portugal,,2020-09-08,2020-10-14,Household and community samples,All,Multiple groups,,,Primary Estimate,,13398,0.022,0.02,0.025,True,True,True,,,Convenience,ADVIA Centaur Immunoassay System,Siemens,CLIA,Serum,TotalAntibody,Spike,Validated by independent authors/third party/non-developers,0.981,0.999,1,Yes,No,Yes,Yes,Yes,Unclear,Yes,Yes,Unclear,Luisa Castro,Los Alamos National Laboratory,Unity-Aligned,https://wwwnc.cdc.gov/eid/article/27/11/21-0636_article,2021-09-29,2022-07-16,Verified,castro_early_2021,PRT,True
11593,11593,210407_Slovenia_UniversityofLjubljana_SecondRound_Nov,210407_Slovenia_UniversityofLjubljana_SecondRound,"Seroprevalence of SARS-CoV-2 in Slovenia: results of two rounds of a nationwide population study on a probability-based sample, challenges and lessons learned",2021-04-07,Journal Article (Peer-Reviewed),National,Prospective cohort,Slovenia,,,"probability-based sample of the Slovenian population comprising data from 2.1 million people was selected from the Central Population Register (n = 3000). 
All participants provided written informed consent before enrolment and for individuals younger than 18 years a parent or legal guardian provided consent",,2020-10-17,2020-11-10,Household and community samples,All,Multiple groups,0.0,99.0,Primary Estimate,,1211,0.0429,0.0318,0.0547,True,,True,,True,Simplified probability,"Elecsys® Anti‐SARS‐CoV‐2 (N),Elecsys® Anti‐SARS‐CoV‐2 (S)",Roche Diagnostics,CLIA,Serum,IgG,"['Nucleocapsid(N-protein)', 'Spike']",Multiple tests with diff validations or values derived from each type,,,2,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Mario Poljak ,University of Ljubljana,Unity-Aligned,https://dx.doi.org/10.1016/j.cmi.2021.03.009,2021-08-05,2022-07-16,Verified,poljak_seroprevalence_2021,SVN,True
11623,11623,210706_SouthAfrica_SouthAfricanNationalBloodService_Overall_PopAdj,210706_SouthAfrica_SouthAfricanNationalBloodService,Prevalence of anti-SARS-CoV-2 antibodies among blood donors in South Africa during the period January-May 2021,2021-07-06,Preprint,National,Cross-sectional survey ,South Africa,,,"All donors who underwent and passed routine screening through a self-administered questionnaire, one-on-one assessment and a mini-health screening by blood centre staff","Donors who did not meet the routine donor eligibility criteria were excluded from donation and therefore
from the study. Contact with persons infected by COVID-19, unresolved COVID-19 infection or
COVID-19-like symptoms in the preceding 14 days resulted in temporary deferral of potential donors",2021-01-15,2021-05-15,Blood donors,All,Multiple groups,15.0,69.0,Primary Estimate,overall 15-69,16762,0.474,0.462,0.486,True,,True,,True,Sequential,Elecsys® Anti‐SARS‐CoV‐2 (N),Roche Diagnostics,CLIA,Plasma,TotalAntibody,Nucleocapsid(N-protein),Validated by manufacturers,1.0,0.995,1,Yes,No,Yes,No,Unclear,Yes,Yes,Yes,Unclear,Marion Vermeulen,South African National Blood Service,Unity-Aligned,https://assets.researchsquare.com/files/rs-690372/v2_covered.pdf?c=1627923426,2021-07-13,2022-07-16,Verified,vermeulen_prevalence_2021,ZAF,True
11032,11032,210424_SouthKorea_KoreaAssociationofHealthPromotion_Primary,210424_SouthKorea_KoreaAssociationofHealthPromotion,"Nationwide
  seroprevalence of antibodies to SARS-CoV-2 in asymptomatic population in
  South Korea: a cross-sectional study",2021-04-24,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Republic of Korea,,"Seoul (Dongbu), Chuncheon, Chungju, Daegu (Dong-gu), Daegu (Buk-gu), Ulsan, Busan, Changwon, Kwangju, Jeonju, Daejeon, Suwon, Seoul (Kangnam), Incheon, Seoul (Seobu), Jeju ","We randomly selected subjects from 
health examinees (>18 years) who underwent health check-ups at 16 health promotion centres using stratification by region and sex. 
Required subjects were allocated to health promotion 
centres proportional to regional population size where 
centres were located and stratified randomisation underwent with regard to sex.","Subjects who had COVID-19-related symptoms or 
who had a history of return from abroad or contact 
with confirmed COVID-19 patients within 2 weeks were 
excluded",2020-09-24,2020-12-09,Residual sera,All,Multiple groups,18.0,86.0,Primary Estimate,,4085,0.0039,0.002,0.0058,True,,,,True,Stratified probability,Elecsys® Anti‐SARS‐CoV‐2 (N),Roche Diagnostics,CLIA,Serum,"['IgA', 'IgG', 'IgM']",Nucleocapsid(N-protein),Validated by manufacturers,0.995,0.998,1,No,Yes,Yes,Yes,Unclear,Yes,Yes,Yes,Unclear,Eun Hee Nah,Korea Association of Health Promotion,Unity-Aligned,https://bmjopen.bmj.com/content/11/4/e049837.abstract,2021-05-17,2022-07-16,Unverified,nah_nationwide_2021,KOR,True
11906,11906,200606_Spain_InstitutodeSaludCarlosIII_primary,200606_Spain_InstitutodeSaludCarlosIII,ESTUDIO ENE-COVID: INFORME FINAL ESTUDIO NACIONAL DE SERO-EPIDEMIOLOGÍA DE LA INFECCIÓN POR SARS-COV-2 EN ESPAÑA,2020-07-06,Institutional Report,National,Cross-sectional study with prospective cohort follow up of a subset of the sample,Spain,,,,,2020-06-08,2020-06-22,Household and community samples,All,Multiple groups,0.0,,Primary Estimate,,62167,0.052,0.049,0.055,True,,True,,True,Stratified probability,COVID-19 IgG/IgM Rapid Test,Zhejiang Orient Gene Biotech,LFIA,Whole Blood,IgG,,Validated by manufacturers,0.97,1.0,2,,Yes,Yes,Yes,,Yes,Yes,Yes,,Ministry of Health,Instituto de Salud Carlos III,Unity-Aligned,https://www.mscbs.gob.es/ciudadanos/ene-covid/docs/ESTUDIO_ENE-COVID19_INFORME_FINAL.pdf,2021-06-21,2022-07-16,Unverified,ministerio_de_salud_estudio_2020-1,ESP,True
12245,12245,210317_Sweden_TheSwedishPublicHealthAgency_BloodDonors_overall,210317_Sweden_TheSwedishPublicHealthAgency_BloodDonors,Påvisning av antikroppar efter genomgången covid-19 hos blodgivare (Delrapport 2) ,2021-03-17,Institutional Report,National,Repeated cross-sectional study,Sweden,"Regions of: Jämtland-Härjedalen, Jönköping, Kalmar,
Skåne, Stockholm, Uppsala, Västerbotten, Västra Götaland and Örebro",,"Blood donors in nine regions of Sweden (Jämtland-Härjedalen, Jönköping, Kalmar, Skåne, Stockholm, Uppsala, Västerbotten, Västra Götaland and Örebro)",,2020-11-23,2020-12-04,Blood donors,All,Multiple groups,,,Primary Estimate,,3183,0.07,0.0575,0.0848,True,True,True,,True,Convenience,,Sci LifeLab / KTH,ELISA,Serum,,"['Nucleocapsid(N-protein)', 'Spike']",Validated by manufacturers,0.994,0.989,1,No,No,Yes,No,Unclear,Unclear,Yes,Yes,,Swedish Public Health Agency,The Swedish Public Health Agency (Folkhälsomyndigheten),Unity-Aligned,https://www.folkhalsomyndigheten.se/contentassets/376f9021a4c84da08de18ac597284f0c/pavisning-antikroppar-genomgangen-covid-19-blodgivare-delrapport-2.pdf,2021-05-03,2022-07-16,Verified,swedish_public_health_agency_pavisning_2021,SWE,True
15315,15315,210710_USA_EmoryUniversity_overall_PopAdj_TestAdj,210710_USA_EmoryUniversity,"Severe Acute Respiratory Syndrome Coronavirus 2 Cumulative Incidence, United States, August 2020–December 2020",2021-07-10,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,United States of America,,,household members aged >= 18 years old,,2020-08-09,2020-12-08,Household and community samples,All,Multiple groups,18.0,,Primary Estimate,"Overall, population and test adjusted",4654,0.0471,0.033,0.0611,True,True,True,,,Stratified probability,Platelia SARS-CoV-2 Total Ab assay,Bio-rad,ELISA,Whole Blood,TotalAntibody,Nucleocapsid(N-protein),Validated by independent authors/third party/non-developers,0.98,0.993,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Patrick Sullivan,Emory University,Unity-Aligned,https://dx.doi.org/10.1093/cid/ciab626,2021-07-19,2022-07-16,Verified,sullivan_sars-cov-2_2021,USA,True
13032,13032,201002_England_PHE_BloodDonors_Summary_Final,201002_England_PHE_BloodDonors_Summary17_Final,PHE England week 40,2020-10-02,Institutional Report,National,Repeated cross-sectional study,United Kingdom of Great Britain and Northern Ireland,England,,"In this week’s report the results from testing samples from the following sources are included:
Healthy adult blood donors aged 17 years and older, supplied by the NHS Blood and Transplant (NHS BT collection) between weeks 13 -38. Donor samples from two different geographic regions (approximately 1000 samples per region) in England are tested each week. From week 26, an exclusion of donors aged 70 years and older donating throughout lockdown was lifted, and therefore data from the most recent sam-pling periods include donors in this older age group.",,2020-08-24,2020-09-18,Blood donors,All,Multiple groups,17.0,,Primary Estimate,,8230,0.061,0.054,0.068,True,True,True,,,Stratified probability,Anti-SARS-CoV-2 ELISA IgG,EUROIMMUN,ELISA,Serum,IgG,Spike,Validated by independent authors/third party/non-developers,0.8300000000000001,0.993,2,No,Yes,Yes,No,Unclear,Yes,Yes,Yes,,Public Health England,Public Health England,Unity-Aligned,https://www.gov.uk/government/publications/national-covid-19-surveillance-reports,2021-01-23,2023-03-19,Verified,public_health_england_national_2020-17,GBR,True
