country,iso3,region,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Australia,AUS,BARWON_SOUTH_WEST,2018,24.7598156,25.6696158,24.8978171,24.7082248,25.9845282,25.5545055,25.0802183,24.2656272,24.6543662,26.7920235,25.583027,26.5342637,25.4804716,23.5787501,19.685241,13.5765731,9.6394815,10.4148687,,,
Australia,AUS,GIPPSLAND,2018,14.2118919,14.9504606,14.6041819,13.6765854,12.734012,13.4368628,13.9376741,13.0280258,13.0192953,15.2042447,15.3056519,17.4476078,17.0035412,16.733731,14.00305,9.5519238,6.0554438,6.0130078,,,
Australia,AUS,GRAMPIANS,2018,13.0491191,14.1925424,13.8660869,13.1666776,13.4283865,13.0086286,12.5930732,12.5281435,12.9256039,14.5498789,14.1489583,15.1590643,14.2750274,13.4910943,11.1757843,7.8001378,5.2634532,5.6606714,,,
Australia,AUS,HUME,2018,14.2568785,15.4543645,15.2940652,14.9723963,12.7164806,13.2321439,13.5127749,13.0011381,13.7416698,15.6562078,15.3835404,17.0304767,16.0672149,15.0772745,12.6881492,8.825481,5.9003831,6.064177,,,
Australia,AUS,LODDON_MALLEE,2018,14.9389588,15.6746154,15.1435238,15.0986051,14.7465543,15.150988,14.2109486,13.3787005,13.9724386,15.617817,15.3519575,16.7631173,15.6649401,14.6845081,12.0282343,8.7815423,6.042007,6.3758324,,,
Australia,AUS,New South Wales,2020,499.023,511.402,489.438,474.681,558.417,613.789,602.516,568.293,506.215,526.659,477.949,494.31,447.266,393.231,341.916,240.802,168.332,105.928,52.589,15.199,1.571
Australia,AUS,NORTH_METRO,2018,71.7604933,69.0102009,62.3565495,62.6406131,85.8630879,97.5917697,96.0696037,84.3729389,73.1953901,73.046348,65.4051139,61.8710329,53.3255088,45.2275556,37.9944833,27.1262571,19.9328905,20.2884398,,,
Australia,AUS,SOUTH_EAST_METRO,2018,102.6014038,104.3540305,98.2604614,100.9828407,125.7256042,123.1395709,121.6039396,114.5280535,105.4640059,111.1448106,99.5783551,94.9319923,82.9628325,71.4958291,61.3353411,44.1819079,32.1051825,34.4510521,,,
Australia,AUS,SOUTH_METRO,2018,47.2164146,48.3945825,46.5601549,46.1918261,61.1779394,68.9343903,67.0963634,59.4475895,54.7056743,59.0475641,52.3465593,50.9324919,45.0408264,40.6586328,36.1640106,24.9714805,18.1498812,20.3549811,,,
Australia,AUS,Victoria,2020,404.553,411.474,385.896,382.37,488.132,531.255,521.625,477.448,416.763,431.07,393.305,385.538,346.777,304.002,261.995,184.572,130.971,82.985,40.793,11.879,1.401
Australia,AUS,WEST_METRO,2018,103.9088636,96.6268547,84.0582876,85.9112567,126.705421,144.3319911,142.7662089,122.9487362,101.7730016,97.5410932,85.473489,80.1126713,69.0451315,58.1519512,47.1105568,32.182557,23.4024265,23.9283687,,,
Philippines,PHL,Bicol,2020,722.48,709.09,682.87,626.53,543.07,488.76,427.13,355.94,304.34,284.63,248.05,217.2,174.7,134.05,94.23,63.37,36.45,15.13,4.78,0.94,0.11
Philippines,PHL,Calabarzon,2020,1524.25,1534.05,1517.77,1511.88,1455.15,1370.22,1267.2,1162.87,1022.84,925.09,768.04,645.26,501.01,359.96,227.03,143.11,77.18,32.05,10.11,1.99,0.24
Philippines,PHL,Central Visayas,2020,815.65,814.47,790.53,746.73,715.11,655.32,603.72,526.98,460.85,411.87,361.53,308.21,254.83,188.77,133.93,88.13,51.05,21.2,6.69,1.32,0.16
Philippines,PHL,Metro Manila,2020,1197.73,1218.955,1233.908,1202.331,1268.376,1224.544,1136.362,1053.583,948.934,835.25,696.166,579.215,449.756,325.322,200.695,128.172,66.88800772,27.77114645,8.764032389,1.726767283,0.207046161
Philippines,PHL,Davao City,2015,167.391,167.391,165.551,165.551,159.777,159.777,119.3595,119.3595,87.6215,87.6215,62.0145,62.0145,36.367,36.367,13.9465,13.9465,4.4675,,,,
Philippines,PHL,Davao Region,2015,555.8925,555.8925,518.6125,518.6125,458.9225,458.9225,381.8215,381.8215,291.858,291.858,219.0585,219.0585,137.8695,137.8695,61.8,61.8,19.5995,,,,
Malaysia,MYS,Sabah,2019,290.8,293.2,307.1,443.1,471.9,498.6,371.4,319.7,225.3,181.5,151,123.4,92.3,57.7,34.2,21.9,11.5,8.8,,,
Malaysia,MYS,Selangor,2019,519.2,508.1,472.7,477.7,563.8,648.7,719.2,628.3,463,390.4,324.1,268.9,203.7,146.4,101.7,47,27,18.6,,,
Malaysia,MYS,Johor,2019,300.3,288.6,288.6,325,365.5,344.4,321.2,295.8,237.9,217.2,196,173,141.6,104.7,73.7,42.7,27.3,20.6,,,
Malaysia,MYS,Penang,2019,108.8,111.7,115.1,130.5,171.8,181,158.7,144.9,118.3,112.1,102.5,88.8,77.3,59.7,44.3,25.1,15.7,8.5,,,
Malaysia,MYS,Kuala Lumpur,2019,119.2,113,117.4,123.6,142.8,174.1,174.4,174.5,139.3,111.4,104.4,90.1,69,51.2,36.7,21,11.7,7,,,
Sri Lanka,LKA,Western Province,2012,448.996,448.996,436.863,436.863,460.191,460.191,459.812,459.812,395.794,395.794,331.2835,331.2835,238.184,238.184,109.0325,109.0325,45.409,,,,
Indonesia,IDN,Bali,2010,340.5945,340.5945,305.5165,305.5165,307.646,307.646,349.444,349.444,275.431,275.431,176.688,176.688,112.2575,112.2575,50,50,27.7995,,,,
Vietnam,VNM,Ho Chi Minh City,2019,547.584,610.815,544.876,656.093,837.965,952.694,914.99,830.842,687.347,622.012,514.473,432.386,339.692,203.635,108.498,82.476,55.838,50.866,,,
Vietnam,VNM,Hanoi,2019,694.775,744.255,584.755,532.528,607.971,707.976,715.284,667.128,527.374,448.797,377.049,431.541,356.618,229.746,157.428,108.409,79.498,82.531,,,
Australia,AUS,BARWON_SOUTH_WEST,2020,26.01785221,27.84269469,27.5818403,26.28930163,27.48827116,29.00232009,28.1867984,27.63647545,26.01371177,28.86380523,27.43065328,28.30703338,28.14486966,25.90991399,22.6896294,15.63722412,10.72001999,11.02915582,,,
Australia,AUS,GIPPSLAND,2020,14.7609334,15.75912543,16.19235232,14.50492567,13.65140572,14.69544535,15.01988145,14.79231595,13.84770346,15.52338395,16.25147186,18.43246847,18.8656841,17.99986325,16.22865551,10.94619355,7.067736218,6.540463067,,,
Australia,AUS,GRAMPIANS,2020,13.27859685,14.21439723,14.76255027,13.3618948,13.75110413,14.10865235,13.46764165,13.33983861,13.02890414,14.42359573,14.48317065,15.31381225,15.0894691,13.92291407,12.20715245,8.539417979,5.672776132,5.863239376,,,
Australia,AUS,HUME,2020,13.81514048,14.87431693,15.52165369,14.41932266,13.07807211,12.7873932,13.42218823,13.11006123,12.87439406,14.99777199,14.89611056,16.39479878,16.13984287,15.1457411,13.59323908,9.26854819,6.280324765,6.098264687,,,
Australia,AUS,LODDON_MALLEE,2020,15.95211653,16.94223652,17.26617636,16.14159053,16.07645193,16.56900393,15.93004184,15.46347711,14.83862252,16.68664069,16.81316467,18.00500465,17.9282235,16.57078782,14.09129667,10.06389392,7.030562433,6.964020358,,,
Australia,AUS,WEST_METRO,2020,99.22409233,96.92112198,85.41511141,80.36827364,114.2881841,139.2728963,142.4771136,128.8082937,101.7511185,93.86115252,83.7145735,77.31444856,68.99578911,57.50273494,47.80383655,32.32765406,22.97779792,23.25486581,,,
Australia,AUS,SOUTH_EAST_METRO,2020,113.434732,118.6983041,114.5328865,109.7479446,140.0527225,159.243495,156.1015485,145.1270336,124.6384802,128.2085725,118.1389114,111.3384105,101.3491696,87.32859763,78.3492711,55.64954187,39.98234115,41.9213517,,,
Australia,AUS,NORTH_EAST_METRO,2020,105.5025362,111.4078032,105.8014291,102.5007465,133.1637884,149.5137938,149.0677864,137.1435043,118.3250653,118.6850773,111.0309441,105.1210234,94.21395207,79.5984472,69.50091926,50.63252631,36.83644139,37.75063918,,,
Bangladesh,BGD,FDMN,2021,151.734,145.2357143,121.4447857,82.59840476,48.1197619,48.1197619,48.1197619,48.1197619,48.1197619,48.1197619,48.1197619,48.1197619,10.271875,10.271875,10.271875,0.342395833,0.342395833,0.342395833,0.342395833,0.342395833,0.342395833
Vietnam,VNM,Ca Mau,2019,96.033,110.393,98.487,125.747,128.611,122.889,102.581,88.578,78.641,70.887,58.423,44.409,24.483,18.185,15.233,11.405,6.783,5.17,,,
